node_id,name,lat,lon
405,Kent Ridge Drive,1.295769,103.7709
406,FASS Carpark (CP16),1.29571,103.771
407,AS8,1.296021,103.7723
408,AS6,1.295602,103.7731
409,LT14,1.295741,103.7734
410,LT15,1.295527,103.7735
411,Eusoff Hall,1.293676,103.77
412,Eusoff Hall Carpark (CP15),1.294089,103.7706
413,Temasek Hall Carpark (CP15),1.293036,103.7721
414,Temasek Hall,1.292844,103.7715
415,Supper Stretch,1.29289,103.76864
419,COM2 Carpark (CP13),1.294657,103.7734
420,IMRE Carpark (CP11),1.294332,103.7751
421,LT11,1.29545,103.7714
422,AS2,1.295164,103.7712
423,Kent Ridge Drive,1.294692,103.7706
424,AS3,1.294743,103.7712
425,AS7,1.294247,103.771
426,Kent Ridge Drive,1.293788,103.771
427,AS1,1.295159,103.7721
428,LT9,1.295003,103.7722
429,LT10,1.294923,103.772
430,AS4,1.294523,103.7717
431,AS5,1.294212,103.7717
432,LT8,1.294136,103.772
433,The Deck,1.294695,103.7725
434,Computing Drive,1.293887,103.7723
435,Computing Drive,1.294629,103.7729
436,Kent Ridge Drive,1.293392,103.7722
437,COM1,1.294868,103.7738
438,COM2,1.29383,103.774
439,Kent Ridge Road,1.292918,103.7813
440,KE7 Carpark (CP10A),1.29229,103.782
441,Kent Ridge Road,1.294651,103.7799
442,Brenner Centre for Molecular Medicine,1.294402,103.7798
443,Heng Mui Keng Terrace,1.291611,103.7763
444,Heng Mui Keng Terrace,1.291865,103.7752
445,Kent Ridge Road,1.294816,103.7781
446,Kent Ridge Road,1.295186,103.7766
447,KR Dr - HMK Tr Junction,1.292144,103.774
448,Kent Ridge Drive,1.292596,103.7736
449,Prince George's Park Road,1.29176,103.78035
450,Prince George's Park Road,1.292526,103.7795
451,Prince George's Park Road,1.292995,103.7781
452,NUS Enterprise Incubator,1.293169,103.7782
453,Temasek Life Sciences Laboratory,1.294314,103.7769
454,Prince George's Park Road,1.29375,103.7768
455,Institute of Materials Research and Engineering,1.294587,103.7756
456,Research Link,1.296504,103.7739
457,Research Link,1.296052,103.7744
458,Research Link,1.294382,103.7752
459,PGP Rd - Business Link Junction,1.293747,103.7754
460,Business Link,1.293331,103.7752
461,Business Link,1.292877,103.775
462,Business Link,1.292193,103.7745
463,PGP Carpark (CP10),1.291159,103.7818
464,Sheares Carpark (CP12B),1.292064,103.7757
465,Institute of Systems Science,1.292286,103.7767
466,BIZ2 Carpark (CP11A),1.29348,103.7755
467,BIZ2,1.293237,103.7755
468,HSSML Carpark (CP12),1.293089,103.7749
469,LT19,1.293755,103.7744
470,LT18,1.29351,103.77451
471,LT17,1.293578,103.774
472,Prince George's Park Residence (PGPR),1.290923,103.7807
473,Office of Campus Security,1.292365,103.7794
474,Institute for Mathematical Sciences,1.292712,103.7798
475,PGP Foodclique,1.290963,103.7822
476,PGP Nanyang Mart,1.290457,103.7814
477,Kent Ridge Road,1.296327,103.7756
478,SuperSnacks@PGP,1.291581,103.7802
479,NUS Entrepreneurship Centre,1.292511,103.7756
480,i3 Auditorium,1.292892,103.7754
481,BIZ1,1.292558,103.7741
482,Sheares Hall,1.291551,103.7757
483,Kent Ridge Hall,1.291907,103.7748
484,Kent Ridge Guild House,1.293287,103.773
485,Shaw Foundation Alumni House,1.293138,103.7737
486,LT16,1.29393,103.7738
487,Hon Sui Sen Memorial Library (HSSML),1.292999,103.7745
488,King Edward VII Hall (KE7),1.292403,103.7811
489,Prince George's Park Road,1.291165,103.7807
490,Prince George's Park Road,1.291259,103.7817
491,Tropical Marine Science Institute,1.297484,103.7744
492,Central Library (CLB),1.2966,103.7731
493,Kent Ridge Crescent,1.297588,103.773
494,Kent Ridge Crescent,1.298251,103.7736
495,Kent Ridge Crescent,1.298852,103.7743
496,LT3,1.29777,103.7734
497,LT4,1.29747,103.7735
498,Kent Ridge Road,1.297367,103.7736
600,College Link,1.301214,103.7745
601,College Link,1.302656,103.7739
602,College Link,1.30334,103.77408
603,Create Way,1.303791,103.773
604,College Ave West,1.304377,103.772
605,College Ave West,1.305353,103.7717
606,College Ave West,1.306805,103.7718
607,College Ave West,1.307884,103.7719
608,College Ave West,1.308811,103.7722
609,Dover Road Entrance,1.30869,103.7729
610,College Ave East,1.308258,103.7736
611,College Ave East,1.307376,103.7735
612,College Ave East,1.30613,103.77401
613,College Ave East,1.305297,103.7741
614,Create Way,1.304608,103.7745
615,UTown Roundabout,1.303731,103.7756
616,Town Green,1.304904,103.7732
617,Footpath,1.304066,103.7739
618,Footpath,1.304729,103.773
619,Footpath,1.305093,103.7726
620,Footpath,1.305484,103.7734
621,CREATE Tower (East),1.304113,103.7743
622,CREATE Tower (West),1.303799,103.7735
623,UTown Auditorium,1.303907,103.7737
624,UTown Residence,1.30513,103.7736
626,Stephen Riady Centre (SRC),1.304462,103.7726
628,Education Resource Centre (ERC),1.305661,103.7728
630,College of Alice & Peter Tan (CAPT),1.30758,103.77315
631,Residential College 4 (RC4),1.308229,103.7732
632,Cendana College,1.307975,103.7723
633,Saga College,1.30563,103.772
634,Elm College,1.306317,103.7721
635,School of Continuing and Lifelong Education (SCALE),1.305721,103.7731
636,Tembusu College,1.306223,103.7735
637,Cinnamon College,1.306724,103.7733
638,Chua Thian Poh Hall,1.306995,103.7733
639,USP Office,1.306781,103.773
640,Yale-NUS College,1.306767,103.7719
641,College Ave East,1.30701,103.7736
642,Footpath,1.30556,103.77247
643,Footpath,1.30631,103.77256
644,Footpath,1.30684,103.77282
645,Footpath,1.30785,103.77286
